Fight_ID,Fighter_ID,Opponent_ID,Result,Duration,Significant_Strikes_Landed,Significant_Strikes_Attempted,Takedowns_Landed,Takedowns_Attempted,Knockdowns,Control_Time
1,461,462,L,900,110,291,0,5,0,0
1,462,461,W,900,61,174,0,0,0,0
2,461,469,W,900,100,171,2,4,1,152
2,469,461,L,900,66,134,6,11,0,460
3,461,470,L,900,27,235,0,2,0,0
3,470,461,W,900,54,105,0,0,0,0
4,461,463,W,900,68,115,2,5,0,377
4,463,461,L,900,41,81,7,13,1,300
5,461,471,L,442,7,15,0,0,0,52
5,471,461,W,442,3,9,4,7,0,349
6,461,472,L,900,78,144,1,9,0,106
6,472,461,W,900,97,155,2,3,1,150
7,464,139,L,60,4,11,0,0,0,0
7,139,464,W,60,13,20,0,0,1,4
8,464,465,W,900,96,259,0,0,0,0
8,465,464,L,900,70,176,1,2,0,113
9,464,473,L,900,58,134,0,0,0,0
9,473,464,W,900,55,132,5,12,0,252
10,464,474,L,900,29,99,0,0,0,2
10,474,464,W,900,50,194,3,10,0,553
,,,,,,,,,,
,,,,,,,,,,
12,466,467,W,366,27,35,6,13,0,237
12,467,466,L,366,7,16,0,0,0,0
13,466,468,W,56,9,17,0,0,2,8
13,468,466,L,56,3,7,0,0,0,0
14,475,476,W,900,49,79,0,0,0,28
14,476,475,L,900,31,80,0,0,0,0
15,466,475,W,299,37,57,1,2,0,227
15,475,466,L,299,0,7,0,1,0,0
16,477,478,W,174,13,39,0,0,0,0
16,478,477,L,174,10,16,0,2,0,0
17,477,479,W,414,24,40,2,4,0,218
17,479,477,L,414,8,28,0,2,0,54
18,477,480,W,900,29,82,5,9,0,418
18,480,477,L,900,41,109,0,2,0,2
19,477,481,W,226,84,162,0,3,1,3
19,481,477,L,226,29,76,0,0,0,0
20,477,482,L,256,14,32,1,1,0,3
20,482,477,W,256,35,72,1,2,0,75
21,477,483,W,900,60,110,2,4,0,493
21,483,477,L,900,26,84,0,0,0,0
22,477,484,W,153,2,9,1,1,0,92
22,484,477,L,153,2,13,0,0,0,0
23,477,485,W,246,29,61,0,0,2,4
23,485,477,L,246,18,41,0,0,0,0
24,477,486,L,117,6,14,0,2,0,37
24,486,477,W,117,5,8,0,0,0,0
25,477,487,L,91,10,14,0,1,0,0
25,487,477,W,91,8,12,1,1,0,66
26,477,488,L,900,30,87,0,0,0,224
26,488,477,W,900,47,104,3,20,0,269
27,477,79,W,436,28,71,0,0,1,2
27,79,477,L,436,22,55,0,0,0,0
28,477,489,L,479,41,77,1,1,0,24
28,489,477,W,479,43,78,2,2,0,48
29,477,76,L,622,40,98,3,5,0,138
29,76,477,W,622,68,126,2,5,0,72
30,490,488,L,900,12,22,0,0,0,0
30,488,490,W,900,12,29,12,26,0,704
31,490,30,W,900,115,209,0,2,0,57
31,30,490,L,900,119,234,1,4,0,63
32,490,491,W,273,34,57,0,0,0,99
32,491,490,L,273,7,13,1,3,0,24
33,490,492,L,900,60,127,1,5,0,78
33,492,490,W,900,48,154,3,10,0,183
34,490,493,L,900,52,101,0,0,0,8
34,493,490,W,900,80,128,11,18,0,573
35,490,494,L,900,72,109,0,0,0,43
35,494,490,W,900,35,77,3,22,0,563
36,490,495,W,900,76,140,2,6,0,47
36,495,490,L,900,38,163,2,7,1,149
37,490,465,W,900,70,168,0,0,1,19
37,465,490,L,900,48,128,0,11,0,142
38,490,496,W,620,88,191,0,2,1,34
38,496,490,L,620,72,140,1,1,0,15
39,490,497,W,900,65,150,2,6,1,178
39,497,490,L,900,75,144,0,3,0,50
40,490,498,L,900,66,156,0,3,0,78
40,498,490,W,900,59,146,1,2,0,23
41,490,499,W,575,44,81,1,5,1,32
41,499,490,L,575,59,120,1,2,0,59
42,477,490,W,196,39,75,0,0,2,14
42,490,477,L,196,8,25,0,1,0,0
43,500,501,L,694,45,68,0,1,0,139
43,501,500,W,694,29,42,4,4,0,456
44,500,502,W,25,11,16,0,0,1,3
44,502,500,L,25,1,5,0,0,0,0
45,500,503,L,89,1,4,0,0,0,0
45,503,500,W,89,1,1,1,1,0,61
46,500,504,W,297,42,70,0,0,0,112
46,504,500,L,297,21,39,1,2,1,93
47,500,505,W,84,13,16,0,0,1,31
47,505,500,L,84,4,8,0,1,0,10
48,500,506,W,149,21,29,0,1,0,117
48,506,500,L,149,5,10,0,0,0,0
49,500,507,W,491,58,88,0,2,0,242
49,507,500,L,491,22,36,2,7,0,100
50,500,508,W,340,60,118,0,0,1,55
50,508,500,L,340,26,55,1,1,0,25
51,500,509,L,278,16,29,1,2,0,93
51,509,500,W,278,8,18,2,3,0,40
52,500,250,L,461,4,22,1,1,0,100
52,250,500,W,461,10,18,1,1,0,294
53,500,503,W,450,27,44,1,2,0,143
53,500,503,L,450,4,8,3,8,0,194
54,500,260,L,900,47,95,2,4,0,279
54,260,500,W,900,43,71,1,6,0,260
55,500,510,W,900,45,58,3,8,0,679
55,510,500,L,900,37,50,0,0,0,146
56,500,137,L,900,47,120,1,6,0,104
56,137,500,W,900,89,143,3,9,0,359
57,500,67,L,237,19,25,1,1,0,229
57,67,500,W,237,2,3,1,1,0,2
58,500,255,W,67,26,44,0,0,2,9
58,255,500,L,67,5,8,0,0,0,7
59,500,511,W,900,57,121,7,20,0,557
59,511,500,L,900,42,81,1,1,0,47
60,500,512,W,218,7,12,2,2,0,159
60,512,500,L,218,5,11,1,2,0,32
61,500,513,L,144,4,22,0,0,0,0
61,513,500,W,144,8,17,0,0,1,2
62,500,515,L,258,16,34,0,0,0,0
62,515,500,W,258,23,43,0,0,1,17
63,514,350,W,300,18,49,0,0,0,0
63,350,514,L,300,23,46,0,1,0,9
64,514,516,L,121,7,17,0,0,0,0
64,516,514,W,121,17,24,0,1,2,25
65,514,517,L,900,58,167,0,1,0,4
65,517,514,W,900,56,122,0,2,0,69
66,514,518,L,450,23,49,0,0,0,0
66,518,514,W,450,38,92,0,0,1,2
67,514,351,W,900,44,109,0,0,0,57
67,351,514,L,900,45,81,2,3,0,181
68,514,352,W,900,56,112,0,0,0,80
68,352,514,L,900,67,117,1,5,0,137
69,514,519,L,363,9,19,0,0,0,0
69,519,514,W,363,8,26,1,2,1,139
70,514,153,W,132,16,41,0,0,1,2
70,153,514,L,132,9,22,0,0,0,0
71,514,520,W,792,38,76,2,2,0,331
